DATAFLOW,LAST UPDATE,freq,tra_infr,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2012,918,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2013,917,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2014,1116,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2015,1164,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2016,1161,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2017,1161,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2018,1161,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2019,1167,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2020,1167,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EE00,2021,1167,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2010,218,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2011,238,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2012,183,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2013,198,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2014,198,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2015,200,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2016,200,
ESTAT:TGS00113(1.0),24/11/23 23:00:00,A,RL,KM,EL30,2017,200,
